threshold,youden_j,gmean
inf,0.0,0.0
0.9504219282972053,0.003968253968253968,0.06299407883487121
0.9192157251305929,-0.00038588246135415945,0.06285678681804262
0.8987889978665073,0.011518879443407744,0.12571357363608524
0.8608817661038701,0.008616121823668992,0.12553018393431037
0.8573887902133039,0.01258437579192296,0.140347012252585
0.8556278564716222,0.011132996982053585,0.14024438188255073
0.8444299344393436,0.015101250950307553,0.15363002304088375
0.8423640840397062,0.013649872140438177,0.1535175147701794
0.8352638475582833,0.02158638007694611,0.17726675695577082
0.8335773078855641,0.020135001267076735,0.17713674831565215
0.8230273981658862,0.02807150920358467,0.1980449052735348
0.8208552742192484,0.026620130393715295,0.19789944443475915
0.8108706874069259,0.04249314626673117,0.2341577804614249
0.7909375901285186,0.03668763102725367,0.2334680653241583
0.7861064239959807,0.04065588499550764,0.2416624066297389
0.7855071194890183,0.037753127375768886,0.2413046530558956
0.7814214275744779,0.04965788928053079,0.2643360034193439
0.7794579598359854,0.04675513166079204,0.26394352212875016
0.775806560400228,0.050723385629046006,0.27117619063390325
0.7700160453381928,0.04782062800930725,0.27077235393830423
0.7680842992925473,0.05178888197756122,0.27780657348383947
0.7656383047440081,0.04888612435782247,0.27739162691394226
0.7493102760195867,0.07269564816734628,0.3162751161355456
0.7470377799155788,0.07124426935747691,0.31603829460017746
0.7284421452231034,0.10695855507176263,0.36667986078209547
0.7276683987601237,0.10550717626189325,0.36640488521977604
0.726495574074821,0.11344368419840119,0.37672816940365217
0.7254089918754874,0.1119923053885318,0.37644523420083803
0.7232500140484407,0.11992881332503974,0.3864855355409694
0.7159676194598303,0.11847743451517037,0.38619483558593
0.7154876852063948,0.12244568848342433,0.39111471336227543
0.704544498896756,0.11809155205381619,0.39023017085029493
0.7043232888261717,0.12205980602207017,0.39507793648582384
0.7041245740566354,0.11915704840233143,0.3944797863525037
0.698331890067832,0.12709355633883937,0.40398668714936964
0.6968733850484479,0.12273941990923123,0.4030660934261562
0.6923846077373723,0.13067592784573917,0.4123331912236733
0.6922354462420601,0.1292245490358698,0.4120187930146168
0.6861498696376432,0.14509756490888567,0.429940946954446
0.6850173373563897,0.1436461860990163,0.42961262239571396
0.6837179400221755,0.14761444006727026,0.43397428368477853
0.6803555589722418,0.1447116824475315,0.43331020635053846
0.678270257676143,0.14867993641578547,0.43762185688799543
0.6720146535021557,0.14432579998617734,0.4366138973379987
0.6696802554362361,0.1482940539544313,0.44087364598948564
0.6677825513221667,0.14539129633469255,0.4401938095850566
0.6676421270636632,0.14935955030294654,0.4444062865182574
0.6673700821386613,0.14790817149307717,0.4440627176331033
0.6597252288934271,0.15187642546133112,0.44823241209434855
0.6551060802677325,0.14897366784159236,0.44753801599637755
0.6518335961574162,0.16484668371460823,0.46381741287394873
0.6496564502589627,0.16339530490473886,0.4634571662853259
0.6464109973394383,0.17926832077775473,0.4791720191595567
0.6440554552187617,0.17781694196788533,0.47879926762966224
0.6399964656832673,0.1857534499043933,0.4864605423725224
0.637682622097186,0.18139931347478516,0.4853226214167248
0.6368831275725563,0.18536756744303917,0.48909950811769415
0.6356357384873657,0.18391618863316977,0.48871665130120095
0.6351409671444067,0.19582095053793164,0.49986751533421414
0.6307206230498995,0.1943695717280623,0.49947561600675255
0.6276395925352022,0.20230607966457026,0.5067676165569143
0.6224470022434565,0.193597806805354,0.5043753091772635
0.6223063462212486,0.19756606077360794,0.5079652143326895
0.6221330991437378,0.19611468196373855,0.5075625466401301
0.6220661540655003,0.2000829359319925,0.5111244327719892
0.6184357473346125,0.19863155712212316,0.5107186173584481
0.616886863657911,0.20656806505863112,0.5177633448656137
0.6139282689143939,0.20511668624876173,0.5173516045660073
0.6130707166605702,0.20908494021701568,0.5208354931187509
0.612454783849246,0.20618218259727694,0.520005475869242
0.6108865079041231,0.2101504365655309,0.5234606997662608
0.6093756652234581,0.2086990577556615,0.5230424330596266
0.6075137225189235,0.2126673117239155,0.5264722562557298
0.606624940897633,0.21121593291404614,0.5260509098446915
0.6012249069235583,0.227088948787062,0.5395415843971626
0.599897671659533,0.22563756997719264,0.5391090860636116
0.5965681836084514,0.24547883981846247,0.5554991101788104
0.5916735368102836,0.24112470338885433,0.5541600183712738
0.5874253889837767,0.26096597323012416,0.570041743294763
0.5843965467467905,0.256611836800516,0.5686609376900328
0.5822574258902039,0.26058009076877,0.571776911358616
0.5795560215477518,0.25767733314903124,0.5708494542819543
0.5763393909991226,0.26958209505379316,0.5800821198248992
0.5741878291442098,0.2666793374340544,0.5791381287684528
0.569972699152011,0.2706475914023084,0.5821782448209736
0.568152321004549,0.26629345497270024,0.5807519178642278
0.5676715740552768,0.27026170894095425,0.5837688312450556
0.5663975513560547,0.26881033013108485,0.583290135935979
0.5654398153218672,0.2727785840993388,0.5862890767110799
0.5568410518604368,0.2684244476697307,0.5848432321507616
0.5554698326282169,0.2723927016379847,0.5878195528084296
0.5522363797821859,0.26658718639850715,0.5858763423574188
0.5506394696635055,0.2705554403667611,0.5888278791349584
0.5491112080659877,0.26765268274702236,0.587848945990577
0.5483495889100862,0.2716209367152763,0.5907808791212311
0.5479182049599329,0.26871817909553763,0.5897954224232929
0.5427196794324269,0.2806229410002995,0.5984906642314541
0.5390030842228933,0.27626880457069136,0.5969875459161905
0.5372357748406739,0.2881735664754532,0.6055367287640586
0.5358371213554323,0.28527080885571454,0.604518163318384
0.5352749059377933,0.2971755707604764,0.6129341343462147
0.5345263414752369,0.29427281314073767,0.611899645618437
0.5323019857103273,0.3022093210772456,0.6174373118455206
