,precision,recall,f1-score,support
0,0.865424430641822,0.6066763425253991,0.7133105802047781,689.0
1,0.40829694323144106,0.7420634920634921,0.5267605633802817,252.0
accuracy,0.6429330499468651,0.6429330499468651,0.6429330499468651,0.6429330499468651
macro avg,0.6368606869366316,0.6743699172944456,0.6200355717925299,941.0
weighted avg,0.7430055923555137,0.6429330499468651,0.6633524460498652,941.0
