plot_id,mean_chm_actual,mean_chm_predicted,residual
2474,1.0179135593484774,0.8521712,0.1657423767160311
2475,0.7975881905040053,0.89204973,-0.09446153932006085
2476,1.5237314690383477,1.8008374,-0.27710592853703075
2477,1.3877282894736842,1.3197925,0.06793578039470471
2478,0.8269217238575717,0.8857533,-0.058831550106356545
2479,1.2083119983573152,1.214142,-0.005829966555099375
3731,0.49451730261503646,1.0077462,-0.5132289170199733
3732,0.11049097996729833,0.36999425,-0.2595032729528524
3733,0.31028256367522256,1.4546859,-1.1444033627621555
3734,0.2690558375775311,0.9444106,-0.6753547845423724
3735,0.2885160454297208,1.2462147,-0.9576987019991732
3737,1.5426440126599317,1.9315486,-0.3889045827685351
3738,0.9552586782463214,0.7878438,0.16741485481339902
3739,0.8992837072415162,1.4101385,-0.5108547805743407
3740,0.13067673692215853,0.53296685,-0.4022901152659518
3741,1.1831171665584688,1.8724048,-0.6892876472080107
2441,0.13826625531220843,0.6283492,-0.49008292967772077
2442,0.1266099885162346,0.52571374,-0.3991037532630928
2443,0.19932901027138045,0.44072834,-0.24139932630126665
2444,0.24637654408762105,1.5267563,-1.2803797425334726
2445,1.477618134097676,0.67670316,0.800914979056935
2446,0.3630250967130808,0.7891605,-0.42613539332292993
1331,0.061842618413934125,0.56228656,-0.5004439373531252
1332,0.3462101124660184,0.79409397,-0.4478838540180514
1333,0.22777644246293138,2.362851,-2.13507446200179
1334,0.3276961962196206,1.2302027,-0.9025064786461021
1335,0.389127388946281,1.3766694,-0.9875420179445882
1336,0.35985399603400164,0.35682154,0.0030324590161793785
1586,0.26969588356632057,1.1101626,-0.8404667322097414
1587,0.2586947623170515,1.2102963,-0.9516015109144549
1588,0.7578714151051188,0.64468527,0.11318614670301919
1589,3.699105572496045,0.73206913,2.967036437783826
1590,2.1046946087945573,1.2004929,0.9042017499078385
1591,2.34797688120742,1.5621346,0.7858422576798931
1592,0.8328546756589357,0.69212127,0.1407334083402101
1601,1.581654065650254,0.9692245,0.6124295530731971
1602,3.0319079386343106,1.1181688,1.9137391077627286
1603,0.368653441011236,1.0605434,-0.691889976919367
1604,0.5694476735489677,0.90488404,-0.3354363668067146
1605,0.6228655284987714,2.9942553,-2.3713897758377764
1606,0.4952776570438078,0.7630871,-0.26780943678630087
1607,0.11980228206552276,0.6744993,-0.5546969912346481
2431,1.5160893006823764,1.9729816,-0.45689227146880773
2432,3.113374373890439,1.455911,1.6574633335843476
2433,2.5704987653269753,0.84152275,1.7289760120882973
2434,4.729979226725454,1.9497585,2.7802206970623677
2435,0.7056680584551148,0.6253547,0.08031335121405647
2436,0.35445802398212617,0.47797015,-0.12351212911121184
2437,2.348452833063591,0.88117325,1.4672795800042038
2438,1.2671074627807217,0.7395324,0.5275750516822415
2439,0.36430508880728013,0.8305558,-0.46625070781594985
2440,0.9215394418906176,1.4844375,-0.562898023777107
3350,0.1993649352433178,1.5054703,-1.3061053406355885
3351,1.1310003669653894,1.6015221,-0.47052172108545287
3352,1.0369464251382192,3.9388168,-2.9018703606741587
3353,0.3030865721922973,1.4257658,-1.122679180600061
3354,0.10261315548058712,1.2456597,-1.1430465534961585
3360,0.6480530161451912,1.203787,-0.5557339530396843
3361,0.6828873318737954,2.53093,-1.8480427103930503
3362,2.084696572328356,2.626689,-0.5419923848859995
3363,0.2597924447091378,1.4194683,-1.1596758389441215
3364,0.1665709959292315,1.5457546,-1.3791835559582808
3022,0.8776274452228505,0.5172628,0.36036462879371234
3023,1.2787531517819817,0.45850992,0.8202432297543938
3024,0.0617202679938844,1.0884392,-1.0267189581566283
3025,0.07508432427295839,0.43939418,-0.3643098517333587
3026,0.16289974893285047,0.479582,-0.31668226276682604
3027,0.16403123981568657,0.45498767,-0.2909564351358668
3028,0.16317666213961315,0.44442087,-0.2812442119791918
3029,0.14923151689342373,0.39389452,-0.24466300648876316
3030,0.14237361258648812,0.41076493,-0.26839132004595817
3031,0.13096879843398934,0.37863904,-0.24767024394348258
3032,0.10439216675131954,0.6698422,-0.5654500168386157
3033,0.14764864671703667,0.6758187,-0.5281700349998822
3034,0.13944136736970056,0.62680244,-0.4873610770883072
3035,0.12878910774114824,0.64170265,-0.5129135442363908
3036,2.6044884862187314,1.0174615,1.587026947903912
3037,0.09667040854076199,1.353495,-1.2568245932521458
3038,0.12121526633343663,1.9569333,-1.8357179936305525
3039,0.5151668026190134,0.8379798,-0.3228129909295706
3040,1.1957921008772854,0.8595514,0.3362406711287502
3043,0.12181984910192147,1.2117357,-1.0899158763009105
3044,0.6490922922797165,0.416897,0.23219529339742284
3045,0.06853781283517474,0.80844086,-0.7399030512509763
3046,0.3631559388827434,1.3486882,-0.9855323059368977
3047,1.0860839274941754,0.39321944,0.6928644863187146
3048,0.3164526674079453,0.4694163,-0.1529636231136764
3049,0.5460264493328272,0.42182106,0.12420539153634891
3050,0.32617012678236884,0.42702463,-0.1008545059099682
3051,0.18865690359391943,0.42260334,-0.23394643536291346
3052,0.13855927478029384,0.41116568,-0.2726064096812998
3053,0.14811683196049746,0.90253633,-0.7544195006467718
3054,0.09579896887017221,0.7426557,-0.6468567256145384
3055,0.19460181388587863,0.42630866,-0.2317068478134164
3056,0.14699430745885472,0.46476266,-0.31776835042192836
3057,1.7664805781507413,0.54716206,1.219318522181503
3058,0.38834722731559096,0.59599274,-0.20764551665337266
3059,1.3569999522959815,1.2863232,0.07067676256056887
3060,1.112273822692794,0.26679906,0.8454747602023307
3061,0.5926291224619159,0.60848,-0.015850854192136832
3801,6.560096403767778,1.4914076,5.068688770940019
