,precision,recall,f1-score,support
0,0.8571428571428571,0.6531204644412192,0.7413509060955519,689.0
1,0.4254807692307692,0.7023809523809523,0.5299401197604791,252.0
accuracy,0.6663124335812965,0.6663124335812965,0.6663124335812965,0.6663124335812965
macro avg,0.6413118131868132,0.6777507084110858,0.6356455129280154,941.0
weighted avg,0.741543658254604,0.6663124335812965,0.6847350525818023,941.0
