threshold,youden_j,gmean
inf,0.0,0.0
0.94833404,0.003968253968253968,0.06299407883487121
0.91515887,0.015873015873015872,0.12598815766974242
0.89124507,0.014421637063146496,0.12589669620021432
0.8877457,0.018389891031400464,0.14075678542315934
0.8715511,0.015487133411661712,0.140552048172356
0.86293197,0.023423641348169648,0.16630342613314375
0.8557107,0.020520883728430896,0.16606082436119043
0.8423933,0.02845739166493883,0.18829527590146555
0.8345272,0.027006012855069456,0.18815758281109402
0.8326774,0.030974266823323424,0.19833550690493482
0.8233591,0.02807150920358467,0.1980449052735348
0.8232719,0.03203976317183864,0.2077112489859028
0.8210284,0.030588384361969263,0.20755868837113267
0.80314165,0.0385248922984772,0.22564008318528478
0.79794633,0.035622134678738454,0.2253080151860957
0.7665748,0.0673681664247702,0.2863614896553301
0.7643674,0.06446540880503145,0.28593881563947937
0.742296,0.08827493261455525,0.32422414129817523
0.73199636,0.08392079618494712,0.32350390906924303
0.7292697,0.09185730412145506,0.3352715094494229
0.7254189,0.0889545465017163,0.33477296417816604
0.72102505,0.09292280046997027,0.34049599351225696
0.7194375,0.0914714216601009,0.34024217611320295
0.7175142,0.10337618356486282,0.3568490048281943
0.71646243,0.10192480475499344,0.35658260015886417
0.71420443,0.10589305872324739,0.36194504542799905
0.70807594,0.10444167991337802,0.3616744322720896
0.6968423,0.11237818784988596,0.37215992050130103
0.69424736,0.1094754302301472,0.371602377236169
0.6886936,0.11344368419840119,0.37672816940365217
0.68861043,0.1119923053885318,0.37644523420083803
0.67854834,0.13977008316630957,0.41051334479777307
0.6743986,0.1383187043564402,0.41020457202388705
0.6741474,0.14228695832469418,0.4148397990604466
0.6734256,0.1408355795148248,0.41452730199232357
0.6730397,0.14480383348307876,0.41910785322220423
0.6720488,0.14190107586334,0.41847523723409
0.67114526,0.14586932983159398,0.422999425335513
0.6697791,0.1444179510217246,0.4226793349186285
0.6490897,0.17616398276775636,0.4572391736256317
0.6486139,0.17471260395788699,0.45689264900319515
0.64518344,0.18264911189439492,0.46512561127760166
0.64355844,0.1782949754647868,0.4640656958599194
0.6402414,0.18623148340129472,0.4721370087049168
0.64014584,0.18478010459142535,0.4717770109333923
0.6397324,0.1887483585596793,0.4757583221163474
0.6380843,0.18584560093994054,0.4750314182202665
0.632276,0.18981385490819452,0.4789736552615711
0.62986255,0.18836247609832515,0.4786067661573606
0.6281924,0.1923307300665791,0.48251382499381024
0.62679106,0.18942797244684034,0.48177320471842977
0.6260694,0.19339622641509435,0.4856429311786321
0.625475,0.19194484760522496,0.485269215901139
0.6237719,0.1959131015734789,0.48910539588179974
0.61042976,0.18865620752413204,0.48721767986162695
0.6052245,0.20056096942889395,0.498506073295079
0.60507566,0.19910959061902458,0.49811888405352045
0.60361016,0.2110143525237865,0.5091486834647531
0.6032355,0.20811159490404774,0.508356233671677
0.6027742,0.2120798488723017,0.5119744731668415
0.6025739,0.21062847006243232,0.5115749612268216
0.5993021,0.22253323196719424,0.5222710648886222
0.5972492,0.21963047434745547,0.5214543778137098
0.5918377,0.22756698228396338,0.52845407863501
0.5864459,0.2217614670444859,0.5267948780603123
0.58413506,0.22969797498099387,0.5336813779004285
0.5839862,0.22824659617112447,0.5332603274381164
0.5812971,0.23221485013937843,0.5366677763414212
0.57860386,0.2293120925196397,0.53581928920786
0.57266676,0.2412168544244016,0.5458982781438332
0.5667815,0.23831409680466287,0.5450324595526786
0.5641624,0.24625060474117078,0.5516391548249143
0.55971795,0.243347847121432,0.5507614467831782
0.55952805,0.24731610108968602,0.5540300894068912
0.5562597,0.235705070610731,0.5504842604084601
0.5529136,0.24760983251549287,0.5601144530545996
0.55218834,0.2461584537056235,0.5596618352408385
0.54925954,0.2620314695786394,0.5722400762068272
0.5487911,0.26058009076877,0.571776911358616
0.54846925,0.264548344737024,0.5748759959078914
0.5443887,0.2601942083074159,0.5734767013477833
0.5424701,0.26416246227566986,0.576551665488758
0.5399897,0.26271108346580047,0.5760819695529626
0.53959703,0.2666793374340544,0.5791381287684528
0.53902143,0.265227958624185,0.578665555757264
0.53769064,0.269196212592439,0.5817031910945185
0.53730875,0.26774483378256964,0.5812277490934705
0.5293016,0.2875861036238395,0.596171774462753
0.52741253,0.2846833460041007,0.5951952434640951
0.5263234,0.29261985394060863,0.6010593776186499
0.5237333,0.2882657175110005,0.5995771080931228
0.52157843,0.2962022254475085,0.6053702581825584
0.52146065,0.2947508466376391,0.6048705715450525
0.5188337,0.302687354574147,0.6106040700687313
0.5181005,0.30123597576427763,0.6100992299079535
0.51800525,0.3052042297325316,0.6129435307809252
0.51345205,0.30085009330292345,0.6114194251545783
0.51250696,0.3048183472711775,0.6142435483821536
0.51248485,0.30336696846130806,0.6137323177081628
0.5122236,0.31130347639781597,0.619337295393615
0.50724304,0.3084007187780773,0.618304204940626
0.50411505,0.3163372267145852,0.6238496451505102
0.50324994,0.31343446909484646,0.6228055445942275
0.5013294,0.32137097703135437,0.6282929241409483
0.5002886,0.3184682194116156,0.6272378555138326
0.496613,0.33037298131637755,0.635366546942525
0.49193147,0.3245674660769,0.6332236519785277
0.4893948,0.3325039740134079,0.638567406227905
0.4851794,0.32960121639366924,0.6374841698139847
0.4850019,0.3335694703619232,0.6401348430758844
0.48385334,0.33211809155205385,0.639590279095501
0.48277864,0.3360863455203078,0.6422277759721243
0.47993422,0.3346349667104384,0.6416805003925655
0.47956246,0.33860322067869236,0.644304971470011
0.4787233,0.33715184186882297,0.6437549884662659
0.47385192,0.345088349805331,0.6489676645639563
0.46581206,0.3363800769461147,0.6456310477806328
