Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.29677327873616854,0.2950695319125984,0.2955131631225941,0.2965530050229876
RMSE,RMSE_vali,0.9589143879022803,0.9807894733802992,0.9542751019123169,0.983050109526039
R²,R²_vali,0.15759692734603215,0.03019404429929662,0.16572840371474362,0.0257182519298621
Accuracy,Accuracy_vali,0.7854671280276817,0.7138297872340426,0.7966462603140804,0.7329787234042553
F1-Score,F1-Score_vali,0.6180094786729858,0.45213849287169044,0.6399622997172478,0.49292929292929294
