Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.6023064625352604,0.8023159870153362,0.579704853303861,0.786352426034961
RMSE,RMSE_vali,0.8688726432051064,1.186345239611499,0.826998815405829,1.172045174352706
R²,R²_vali,0.5838263650020342,0.16124451884224067,0.6229733131486669,0.18134316978130582
Accuracy,Accuracy_vali,0.8722384881554431,0.7106382978723405,0.8948629225445834,0.7212765957446808
F1-Score,F1-Score_vali,0.7759103641456583,0.4426229508196721,0.8200455580865603,0.45643153526970953
