Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali,veg_adjacency,veg_adjacency_vali,DEM_only+_veg_adjacency,DEM_only+_veg_adjacency_vali
MAE,MAE_vali,0.46957629885705365,0.47532031644480743,0.46232071800429586,0.46968130798083013,0.5355193122093345,0.5266855561122348,0.5355193122093345,0.5266855561122348
RMSE,RMSE_vali,0.7405899024398013,0.742415858126087,0.7290469278436321,0.735146412141175,0.8174735318640431,0.786031235389577,0.8174735318640431,0.786031235389577
R²,R²_vali,0.21521428689028665,0.14123312409434663,0.239487277199665,0.15796820866883676,0.04381282268926556,0.03736773590505882,0.04381282268926556,0.03736773590505882
Accuracy,Accuracy_vali,0.7829434583284354,0.7550540667606959,0.8147408016927237,0.7604607428302774,0.7539085459033736,0.7395392571697226,0.7539085459033736,0.7395392571697226
F1-Score,F1-Score_vali,0.3124185440327686,0.26308345120226306,0.4468234468234468,0.3044368600682594,0.0,0.0,0.0,0.0
