Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.46957629885705365,0.47532031644480743,0.46232071800429586,0.46968130798083013
RMSE,RMSE_vali,0.7405899024398013,0.742415858126087,0.7290469278436321,0.735146412141175
R²,R²_vali,0.21521428689028665,0.14123312409434663,0.239487277199665,0.15796820866883676
Accuracy,Accuracy_vali,0.7829434583284354,0.7550540667606959,0.8147408016927237,0.7604607428302774
F1-Score,F1-Score_vali,0.3124185440327686,0.26308345120226306,0.4468234468234468,0.3044368600682594
