Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.6039552908587361,0.8032501439946921,0.5797949012684596,0.7884820538865022
RMSE,RMSE_vali,0.8662692883751235,1.1853806746835616,0.8258392154069603,1.1731285616983635
R²,R²_vali,0.586316544694659,0.16260787446298053,0.62402988934001,0.1798290090887128
Accuracy,Accuracy_vali,0.874101676869843,0.7191489361702128,1.0,0.7244680851063829
F1-Score,F1-Score_vali,0.7776210625293841,0.45228215767634855,1.0,0.4970873786407767
