Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.8763730043542045,0.9381766998187796,0.8430205283623624,0.9186431006232079
RMSE,RMSE_vali,1.4931752590572764,1.608830582227421,1.4325814903079928,1.5659960763242493
R²,R²_vali,0.23358807890740807,0.12208040242311324,0.2945286979261619,0.1682066257619177
Accuracy,Accuracy_vali,0.7829434583284354,0.7550540667606959,0.8147408016927237,0.7604607428302774
F1-Score,F1-Score_vali,0.3124185440327686,0.26308345120226306,0.4468234468234468,0.3044368600682594
