Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.7837314615485363,1.8841523259541877,1.2732266805759256,1.8637463278136415
RMSE,RMSE_vali,1.2190720955192789,2.8752100197739416,1.8106065099421795,2.8699045158402683
R²,R²_vali,0.8641005267399322,0.283649330284352,0.7002168990281352,0.2862905945573717
Accuracy,Accuracy_vali,0.8868778280542986,0.7127659574468085,1.0,0.7212765957446808
F1-Score,F1-Score_vali,0.8035136384650948,0.4489795918367347,1.0,0.49224806201550386
