Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,1.904724055254177,1.982088919396096,1.9014155154917385,1.9809135345702475
RMSE,RMSE_vali,2.8170440649657906,3.0091182666957943,2.81389487716752,3.004895909768906
R²,R²_vali,0.274318129450455,0.21536976565859556,0.27593970941905344,0.2175701873365774
Accuracy,Accuracy_vali,0.7854671280276817,0.7138297872340426,0.7966462603140804,0.7329787234042553
F1-Score,F1-Score_vali,0.6180094786729858,0.45213849287169044,0.6399622997172478,0.49292929292929294
