Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.618370451103044,0.6771732160169041,0.6338262325310197,0.6864545718176408
RMSE,RMSE_vali,1.55970671432529,1.7098204128652386,1.578941096662654,1.6963449059081914
R²,R²_vali,0.21121096409986173,0.0703199612773322,0.1916362326525769,0.0849162802786172
Accuracy,Accuracy_vali,0.7829434583284354,0.7550540667606959,0.8147408016927237,0.7604607428302774
F1-Score,F1-Score_vali,0.3124185440327686,0.26308345120226306,0.4468234468234468,0.3044368600682594
