Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.1801166162143973,0.30499551560953425,0.19583408733781432,0.30678525969878007
RMSE,RMSE_vali,0.5647922641312781,1.01196921361488,0.621217878227355,1.0136532898217483
R²,R²_vali,0.7077612836854614,-0.0324472119145196,0.6464521796284448,-0.03588638083952045
Accuracy,Accuracy_vali,0.874101676869843,0.7191489361702128,1.0,0.7244680851063829
F1-Score,F1-Score_vali,0.7776210625293841,0.45228215767634855,1.0,0.4970873786407767
