Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.19772691868494696,0.30872785520835777,0.14527362115901313,0.3220149857809553
RMSE,RMSE_vali,0.6171164385737515,1.0085994055599758,0.4938972819104527,1.029283635124201
R²,R²_vali,0.6511051952064661,-0.025582662704451087,0.7765226337253915,-0.06807903510160362
Accuracy,Accuracy_vali,1.0,0.6978723404255319,0.8911365451157839,0.7276595744680852
F1-Score,F1-Score_vali,1.0,0.4409448818897638,0.8131566925536775,0.4775510204081633
