Metric,Metric_vali,DEM_only,DEM_only_vali,DEM_only+,DEM_only+_vali
MAE,MAE_vali,0.7156158612177992,0.7977865079625436,0.6885368866557098,0.7792428040153656
RMSE,RMSE_vali,1.059507288900429,1.1899259742279928,1.0230080926186096,1.1670774428032267
R²,R²_vali,0.3811716317614745,0.15617366224257434,0.42307354332241953,0.18826824180490032
Accuracy,Accuracy_vali,0.7854671280276817,0.7138297872340426,0.7966462603140804,0.7329787234042553
F1-Score,F1-Score_vali,0.6180094786729858,0.45213849287169044,0.6399622997172478,0.49292929292929294
