,precision,recall,f1-score,support
0,0.8260038240917782,0.6889952153110048,0.7513043478260869,627.0
1,0.5323741007194245,0.7092651757188498,0.6082191780821918,313.0
accuracy,0.6957446808510638,0.6957446808510638,0.6957446808510638,0.6957446808510638
macro avg,0.6791889624056013,0.6991301955149274,0.6797617629541394,940.0
weighted avg,0.7282313736497074,0.6957446808510638,0.7036600306666835,940.0
