plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
817,0,0.11490231369786556,0,0
2565,1,0.3836140179818473,0,1
4739,1,0.4665039670449706,1,0
2580,0,0.5261722304603251,1,1
745,1,0.6667477147558084,1,0
136,0,0.35986001701294773,0,0
1094,0,0.35880690503455737,0,0
4059,1,0.6720537622354378,1,0
2610,0,0.09983084369636996,0,0
2541,0,0.40254882284250715,1,1
176,1,0.48285672685829667,1,0
939,1,0.700099981563843,1,0
1301,0,0.006261078468817141,0,0
1375,1,0.17245313633381507,0,1
2505,1,0.6592458220821156,1,0
1037,0,0.24359322856020257,0,0
3229,1,0.4533135736418535,1,0
480,0,0.2924212217691068,0,0
3401,0,0.06029846002936158,0,0
3178,1,0.8822075511989222,1,0
1473,1,0.38579459793809684,0,1
3698,0,0.46730680771193617,1,1
1986,0,0.0652230300562422,0,0
3969,0,0.2951985890272687,0,0
3342,1,0.41983621598658116,1,0
1505,1,0.17520431945584597,0,1
3494,0,0.11807235834199173,0,0
1822,1,0.716408172378353,1,0
3543,1,0.8855016258313154,1,0
2265,0,0.5212023576312592,1,1
555,1,0.4258167579645356,1,0
2010,1,0.22686079568441989,0,1
1619,0,0.3000464081410515,0,0
550,1,0.6397726469614996,1,0
3615,1,0.8649313540909168,1,0
1823,1,0.7520487382886684,1,0
4600,1,0.6715337033459094,1,0
332,0,0.14262183393861158,0,0
4122,0,0.6709057597119965,1,1
3621,1,0.5638448091038488,1,0
1331,0,0.14035148251450066,0,0
4526,0,0.2752113540675945,0,0
2184,0,0.44628389176118644,1,1
3049,0,0.1357150571468425,0,0
3369,0,0.5647609331470429,1,1
503,0,0.40965400479842784,1,1
662,0,0.433897555074459,1,1
2834,0,0.08656439092655926,0,0
1564,0,0.35320435896074337,0,0
2971,1,0.29072708969830363,0,1
4332,0,0.020837927659162175,0,0
3275,1,0.3606924736289602,0,1
1187,0,0.021534532121179818,0,0
1970,1,0.5040898396032085,1,0
4609,1,0.2523455421988222,0,1
3770,1,0.7023980492465337,1,0
58,0,0.014263872414216443,0,0
3489,1,0.5186676618431919,1,0
783,1,0.5684813302334032,1,0
2940,1,0.5966929007686012,1,0
690,0,0.27796684498249397,0,0
3501,1,0.8392509545961555,1,0
146,1,0.2758163799012939,0,1
3113,0,0.5549785408064027,1,1
2388,0,0.34276334757355814,0,0
3346,0,0.4896979113398105,1,1
965,0,0.27261515385143714,0,0
1636,0,0.16333849027586295,0,0
2810,0,0.2553071376781787,0,0
1119,1,0.6429956281096193,1,0
741,1,0.45831519375583135,1,0
661,0,0.6120309877398735,1,1
532,0,0.08566010814541158,0,0
261,0,0.3669504457093879,0,0
3125,0,0.5096856076532734,1,1
1770,1,0.5300412295088492,1,0
3962,0,0.04753055701535833,0,0
2038,0,0.16026547098931984,0,0
932,0,0.20215969236285913,0,0
2146,0,0.4554182849662586,1,1
4234,0,0.0971001307024922,0,0
180,0,0.32392497166512596,0,0
1128,1,0.6538348819813842,1,0
1287,0,0.28372340199695945,0,0
2760,0,0.410917183780465,1,1
4821,1,0.6041350379563855,1,0
3259,0,0.19147436451828334,0,0
2561,1,0.4481391047886589,1,0
2457,0,0.6530278634958471,1,1
247,1,0.6192440044589647,1,0
1868,0,0.30470098785769334,0,0
2020,0,0.2713536037628946,0,0
2805,0,0.4937778702965945,1,1
533,0,0.18926558368190433,0,0
522,0,0.42158541418680545,1,1
2995,0,0.5702647705597798,1,1
326,0,0.16917161613618562,0,0
4501,1,0.2889450139125037,0,1
2136,0,0.19168433963985596,0,0
2046,0,0.205053735188672,0,0
1869,0,0.6684747977020012,1,1
2414,1,0.48932611404108145,1,0
2927,0,0.6499847076957928,1,1
408,0,0.12315891590534676,0,0
4598,0,0.46952353266010627,1,1
4333,0,0.026732689531946234,0,0
1512,1,0.22382649532337248,0,1
812,0,0.14874025209103792,0,0
2825,0,0.30931648800675665,0,0
2660,0,0.2619929691832999,0,0
1457,0,0.6062430055093393,1,1
2973,1,0.2738436899478636,0,1
4500,1,0.5650177688713236,1,0
3596,1,0.3500917876051823,0,1
1973,0,0.20933412039276128,0,0
1531,0,0.13073344504070175,0,0
1246,0,0.08279404393804925,0,0
4777,1,0.38608456122317536,0,1
4060,1,0.5309339977759816,1,0
3116,0,0.40804135633379457,1,1
2132,0,0.2582448641833152,0,0
799,0,0.047815749459605546,0,0
139,0,0.6058474295512309,1,1
4085,1,0.32500699974656355,0,1
2093,0,0.21213027301940215,0,0
3536,0,0.38502387558167034,0,0
1062,0,0.167985387491403,0,0
3256,0,0.41608264629466757,1,1
3107,0,0.0918256224887999,0,0
1632,1,0.17206886695685136,0,1
2830,0,0.17488471788356497,0,0
1117,1,0.28003973639295926,0,1
1913,0,0.5213696093464161,1,1
2795,0,0.6638597487735485,1,1
607,0,0.11737792686063195,0,0
4327,0,0.5356593719484782,1,1
1443,1,0.6770716799450375,1,0
2905,0,0.14702515291801588,0,0
4011,1,0.34119527708066516,0,1
2351,0,0.5581730268349703,1,1
2111,1,0.31202849372160546,0,1
2479,1,0.5913972979486635,1,0
3037,0,0.4385499233675096,1,1
3311,1,0.47091151711223433,1,0
1749,0,0.16732553065157887,0,0
2268,0,0.05376507514798152,0,0
3262,0,0.4758042524542501,1,1
2099,1,0.4021261123295457,1,0
4064,0,0.5034968542076865,1,1
544,0,0.06416863949120369,0,0
2423,1,0.6240577160678595,1,0
1155,0,0.4164758517521129,1,1
225,1,0.4530438033269811,1,0
2582,0,0.6376542785036229,1,1
2425,1,0.7387561342784963,1,0
348,1,0.632122276980537,1,0
3683,1,0.7271649302177022,1,0
2658,1,0.5390501213939197,1,0
4262,0,0.03178683224027206,0,0
3363,0,0.4984124986410552,1,1
4228,0,0.7515938804340546,1,1
907,0,0.5497105369682889,1,1
1584,0,0.6060979210382823,1,1
4588,0,0.3918339844598854,0,0
2873,0,0.269513698678468,0,0
2138,0,0.23230526855800715,0,0
1271,0,0.43283347399702743,1,1
50,0,0.08562403554569992,0,0
343,0,0.1959083633778742,0,0
4100,0,0.2522616368576548,0,0
1253,0,0.04749669279154312,0,0
3831,0,0.5273496680014896,1,1
4446,1,0.7689819079085494,1,0
1108,0,0.21747486039577932,0,0
1288,0,0.29626711130517747,0,0
4783,1,0.30135417978057405,0,1
2690,1,0.5874737844687956,1,0
578,1,0.5339774254738362,1,0
1130,0,0.46729079418149394,1,1
1133,0,0.31881509140470116,0,0
3725,1,0.7869160762644164,1,0
4828,0,0.23766721555000056,0,0
3395,1,0.3476747927784523,0,1
3418,0,0.2076097152912962,0,0
