,precision,recall,f1-score,support
0,0.8582238152130626,0.6849968213604577,0.7618879264627895,3146.0
1,0.4314400458978772,0.6787003610108303,0.5275341985268327,1108.0
accuracy,0.6833568406205924,0.6833568406205924,0.6833568406205924,0.6833568406205924
macro avg,0.64483193055547,0.681848591185644,0.6447110624948111,4254.0
weighted avg,0.7470633976293236,0.6833568406205924,0.7008479803995454,4254.0
