plot_id,mean_chm_actual,mean_chm_predicted,residual
817,0.14944204959901017,0.44525963,-0.29581758108107403
2565,4.468362350892141,0.93765736,3.530704994629934
4739,1.4831833781231842,1.0580581,0.4251252354611359
2580,1.2028063529097537,1.4027603,-0.19995391434793675
745,4.097344508114439,1.6320211,2.4653234385877667
136,0.191712199408981,0.6346762,-0.4429640186238559
1094,0.42949293832525487,0.9114905,-0.48199756164804225
4059,1.1354964858994852,1.4265682,-0.29107166462083955
2610,0.1047788312050219,0.67272466,-0.5679458330062512
2541,1.3606897505287177,1.6632074,-0.3025176612373346
176,0.80473918073902,0.6713551,0.1333840524507509
939,3.2815811657032756,1.2479194,2.0336617254338054
1301,0.08909214332100947,0.18486103,-0.0957688908338825
1375,3.215117997925311,0.9725994,2.2425186107564268
2505,1.280279243071255,1.743178,-0.4628987669156224
1037,0.09801777819424846,0.7006993,-0.6026815511819722
3229,2.039539210222112,0.6586843,1.3808548969248404
480,2.229008574946423,0.8820977,1.3469108538465693
3401,0.1102439303881786,0.541387,-0.43114309115341687
3178,2.2635680999373435,1.8477814,0.4157866801833152
1473,2.3143037297963898,1.1296664,1.1846372821569244
3698,0.7984478562551781,0.7722276,0.026220270939473767
1986,0.09878622219224971,0.41837165,-0.31958542540410956
3969,0.36387446995411893,0.62280345,-0.2589289796766184
3342,2.6699288865524293,1.2791077,1.3908211966949464
1505,2.338549588993999,0.9449168,1.3936328042306627
3494,0.2959864834139664,0.86032397,-0.5643374821355026
1822,1.8082984533880646,1.6116651,0.19663332372650455
3543,3.293370926176593,1.4849286,1.8084423182359193
2265,0.08470822930668712,1.0244197,-0.9397114360299218
555,7.1743783815071165,1.7292448,5.445133553282934
2010,4.0083033445129574,1.1034975,2.904805839324969
1619,0.40293258850342123,0.3688336,0.03409898702865927
550,1.2326801037931538,2.4285429,-1.1958627486085796
3615,1.7722401452120127,2.7932546,-1.02101446866433
1823,1.1991347568520212,1.1791881,0.019946624565949422
4600,2.676664482485067,1.2249929,1.4516716112005823
332,0.17477422366352202,0.56163543,-0.38686121096401094
4122,0.47019638960297433,1.4150336,-0.9448371892697063
3621,1.896033146319107,1.3649188,0.5311143183085478
1331,0.061842618413934125,0.45032507,-0.3884824533977419
4526,0.19639563116428208,1.2501223,-1.053726677566797
2184,0.06918728637695312,1.3248051,-1.2556178541183471
3049,0.5460264493328272,0.28980336,0.25622309340059146
3369,0.17352626183220954,0.84028184,-0.6667555823068896
503,0.13780979474041224,0.48110402,-0.3432942215636039
662,0.2334030808758166,1.2580106,-1.0246075449634169
2834,0.09677291797559336,0.40699416,-0.3102212460144274
1564,0.49545621514022103,1.0635544,-0.5680981910258556
2971,1.5761089668979855,0.51857704,1.0575319276561947
4332,0.14176165771484375,0.03879065,0.10297100704908371
3275,4.00246601286841,1.4417368,2.560729195508486
1187,0.12452575333468834,0.26454958,-0.14002382986195167
1970,3.1118935409375763,1.1542985,1.9575949970075226
4609,1.420092137777242,0.9645847,0.4555074295634358
3770,1.1514958616827082,1.470133,-0.3186370852853704
58,0.06190282185872396,0.2549901,-0.19308727900187175
3489,3.434364196923905,1.586762,1.847602245477372
783,1.1205442613211856,0.744707,0.3758372729865298
2940,1.50112707330473,1.4535019,0.04762513353117037
690,0.22053350094542,0.643808,-0.4232745062948754
3501,3.5621457718601945,1.370794,2.191351714014125
146,1.1058580776078022,0.68980294,0.4160551329476154
3113,0.10183740641076679,0.85573107,-0.7538936636308897
2388,0.5216609431697322,0.75319296,-0.23153201804624068
3346,0.48736023606387197,1.1208304,-0.6334701806155103
965,0.187725189906151,0.5270658,-0.33934062363526135
1636,0.16212439066627796,0.89864236,-0.7365179704978151
2810,0.3221027967551884,1.2925018,-0.9703990104576412
1119,6.06800800879397,1.6218656,4.4461423786441285
741,1.39854501296011,1.0233322,0.37521277476278336
661,0.4169059623367831,0.9664226,-0.5495166550986722
532,0.11410552716638549,0.15766427,-0.043558742042522594
261,0.267005808844207,0.5998424,-0.3328366203168648
3125,0.36727984480905934,0.7102999,-0.3430200643057783
1770,2.797726621142619,1.3569443,1.4407822985565595
3962,0.10627795673326078,0.21220274,-0.10592478596254763
2038,0.3682773938843862,0.6883457,-0.32006827681568706
932,0.19051311823326772,0.49403825,-0.30352513578933055
2146,0.06628221688067566,1.1630957,-1.0968134957810676
4234,0.11678481038411459,0.4871264,-0.3703415996233622
180,0.2873360145049283,0.57480973,-0.2874737155480197
1128,2.2373129062161485,1.079728,1.1575848988995592
1287,0.07454978649750761,0.49415416,-0.4196043687568564
2760,0.2599006134527312,0.5924591,-0.3325584691507234
4821,2.074520624534084,1.0089686,1.0655520328440207
3259,1.023333305069711,0.6311796,0.3921537339179777
2561,1.8145428890306123,1.3550353,0.459507584007419
2457,0.5251270470020951,1.089312,-0.5641849103572188
247,2.8620495936104504,1.3520052,1.5100443503090588
1868,0.14578828962518214,0.5150164,-0.36922808734701634
2020,0.1005640603336617,0.6523094,-0.5517453573909477
2805,0.9180569793407857,1.3177682,-0.399711236792332
533,0.08577897742954299,0.6244832,-0.5387042503002544
522,0.0701680447084756,1.0959659,-1.0257978175656943
2995,0.7612056063491235,1.0396397,-0.2784341050308814
326,0.1013036746840327,0.581049,-0.47974535037471366
4501,5.453097199809665,1.0040449,4.449052309405918
2136,0.18486933855380022,0.50956434,-0.3246950015607933
2046,0.11805854012937948,0.49444705,-0.3763885123494108
1869,0.1729872822612213,0.68119705,-0.5082097649723603
2414,2.5901533060144812,1.3530505,1.2371028356623084
2927,0.07413487273373044,1.4758459,-1.4017110602267797
