,precision,recall,f1-score,support
0,0.8357933579335793,0.722488038277512,0.7750213857998289,627.0
1,0.5628140703517588,0.7156549520766773,0.630098452883263,313.0
accuracy,0.7202127659574468,0.7202127659574468,0.7202127659574468,0.7202127659574468
macro avg,0.699303714142669,0.7190714951770947,0.7025599193415459,940.0
weighted avg,0.7448970632387817,0.7202127659574468,0.7267651326052702,940.0
