Metric,Mean,Std
Accuracy,0.738776595744681,0.0033988487652331853
Precision,0.6529698921613842,0.008055119072054194
Recall,0.4600638977635782,0.006357747201959233
F1,0.5397722710193102,0.005996225968593603
AUC,0.7751677443681815,0.0013506727902284042
