plot_id,median_chm_actual,median_chm_predicted,residual
19111,5.2628889083862305,1.3337681,3.9291207790374756
1139,0.11988888680934906,0.3393399,-0.21945102512836456
19905,0.10000000149011612,0.40435106,-0.3043510541319847
11267,0.10477777570486069,0.3039465,-0.19916871935129166
13188,0.06499999761581421,0.84411526,-0.7791152596473694
3534,0.003000000026077032,0.6333714,-0.6303714127279818
3699,0.052166666835546494,0.08518247,-0.03301580622792244
5454,0.10700000077486038,0.7892824,-0.682282380759716
12328,0.07422222197055817,0.36298454,-0.28876231610774994
18482,0.09666667133569717,0.26070473,-0.1640380546450615
5096,0.10633333027362823,0.1491637,-0.04283036291599274
15067,0.05366666615009308,0.3194511,-0.265784427523613
7001,0.07533333450555801,0.4862501,-0.410916768014431
9588,0.06222222372889519,0.35299474,-0.2907725162804127
5011,0.14194443821907043,0.3788182,-0.2368737757205963
5117,2.99405574798584,0.65460575,2.3394500017166138
6423,13.004666328430176,4.467532,8.537134170532227
14896,1.5022221803665161,0.75324744,0.7489747405052185
18429,0.07411111146211624,0.42074594,-0.3466348275542259
19570,0.0676666721701622,1.0763075,-1.0086408630013466
6064,0.0820000022649765,0.2963529,-0.21435289084911346
1943,0.09244444966316223,0.7673328,-0.6748883426189423
7479,0.10400000214576721,0.17947638,-0.07547637820243835
16380,0.06655555963516235,0.105858095,-0.039302535355091095
9064,0.06177777796983719,0.38598612,-0.3242083415389061
21027,0.05999999865889549,0.17556883,-0.11556883528828621
16597,0.06466666609048843,0.35489437,-0.2902277037501335
19898,0.10966666787862778,0.9018546,-0.7921879068017006
8212,0.07400000095367432,1.1323757,-1.0583757162094116
3102,0.10944444686174393,0.518666,-0.4092215821146965
5692,0.07966666668653488,0.30599815,-0.22633147984743118
19140,0.08100000023841858,0.24460237,-0.16360236704349518
9865,0.06666667014360428,0.34107637,-0.2744097039103508
9731,0.06933332979679108,0.49542972,-0.4260963946580887
5831,0.07911110669374466,0.25653207,-0.1774209663271904
21268,0.06599999964237213,0.548693,-0.48269300162792206
8577,0.07377777993679047,0.19891433,-0.12513655424118042
2145,0.06800000369548798,0.37275848,-0.3047584742307663
20175,0.0676666647195816,0.48698545,-0.4193187803030014
17355,0.0989999994635582,0.74349165,-0.6444916501641273
18819,0.06199999898672104,0.6814592,-0.6194591894745827
6315,0.08799999952316284,0.51618737,-0.42818737030029297
6101,0.05999999865889549,0.12853575,-0.06853574886918068
6616,0.06400000303983688,0.7881467,-0.7241466715931892
7063,0.06833333522081375,0.12569238,-0.05735904723405838
8892,5.98377799987793,0.5931989,5.390579104423523
7272,0.055666666477918625,0.16248573,-0.10681906715035439
7394,0.06599999964237213,0.36636105,-0.3003610521554947
16295,0.0864444449543953,0.4079563,-0.3215118572115898
4391,0.061000000685453415,0.31174588,-0.25074588134884834
15092,0.052000001072883606,1.4669133,-1.4149133414030075
4684,0.10599999874830246,0.28416118,-0.17816118150949478
13546,0.12333333492279053,0.43330124,-0.30996790528297424
18543,0.10677777975797653,0.53691816,-0.430140383541584
1524,0.13583332300186157,0.31844878,-0.1826154589653015
14878,0.07133333384990692,0.24104057,-0.16970723867416382
19024,0.07800000160932541,0.81303847,-0.7350384667515755
16008,0.07288889586925507,0.60015947,-0.527270570397377
5605,0.06966666877269745,0.27596387,-0.20629720389842987
11550,4.582499980926514,1.1505659,3.431934118270874
2393,0.11499999463558197,0.3503868,-0.23538680374622345
5433,0.04577777907252312,0.16339403,-0.11761625483632088
14611,0.15800000727176666,0.20024015,-0.042240142822265625
18154,0.11800000071525574,0.23290707,-0.11490707099437714
206,0.015555555000901222,1.3898144,-1.3742588218301535
5350,0.055666666477918625,0.23457354,-0.1789068765938282
16487,0.06199999898672104,1.3113447,-1.2493447437882423
5131,0.04633333161473274,0.23505294,-0.18871961161494255
19458,0.060111112892627716,0.36889392,-0.30878280848264694
678,7.686999797821045,0.64873195,7.0382678508758545
866,0.1523333340883255,0.22507732,-0.0727439820766449
6553,0.06266666948795319,0.38891342,-0.3262467533349991
17866,0.08249999582767487,0.33789352,-0.25539351999759674
3365,0.09688889235258102,0.5697859,-0.4728970006108284
12707,0.08777777850627899,0.5150796,-0.4273018389940262
16013,0.13099999725818634,0.52935946,-0.3983594626188278
20020,0.0725555568933487,0.40332285,-0.33076728880405426
3605,0.07111111283302307,0.18308091,-0.11196979880332947
15631,0.0860000029206276,0.48918292,-0.4031829163432121
13102,0.09200000017881393,0.19810352,-0.10610351711511612
8255,0.07822222262620926,0.5020841,-0.4238618537783623
19029,0.04899999871850014,0.17497869,-0.12597868964076042
13860,0.05933333560824394,0.23626119,-0.1769278533756733
4296,0.12861111760139465,0.19890441,-0.07029329240322113
21240,0.08677777647972107,0.6101064,-0.5233286321163177
8,0.06199999898672104,0.80966365,-0.7476636543869972
2387,0.06733335554599762,0.38385618,-0.31652282178401947
18474,0.059333331882953644,0.43583253,-0.3764991983771324
19055,0.07588888704776764,0.40131134,-0.3254224509000778
11309,0.0941111147403717,0.2630366,-0.16892549395561218
5531,0.10733333230018616,0.30696934,-0.19963601231575012
15467,0.06938889622688293,0.8085581,-0.7391692101955414
19493,0.0949999988079071,0.41818735,-0.32318735122680664
17204,0.06133333593606949,0.33308694,-0.27175360172986984
376,0.6513333320617676,0.31930885,0.332024484872818
4118,0.07250000536441803,0.44629177,-0.37379176914691925
20847,0.23999999463558197,0.33107778,-0.0910777896642685
5995,0.07333333790302277,0.04822588,0.025107458233833313
21058,4.77400016784668,0.83122677,3.942773401737213
13655,0.11299999803304672,0.25307897,-0.14007896929979324
