plot_id,median_chm_actual,median_chm_predicted,residual
2474,0.08777777850627899,0.17827477,-0.0904969871044159
2475,0.10833333432674408,0.18439922,-0.07606588304042816
2476,0.0860000029206276,0.50525045,-0.419250451028347
2477,0.0855555608868599,0.4370914,-0.3515358492732048
2478,0.10633333772420883,0.21847211,-0.1121387705206871
2479,0.10199999809265137,0.42080238,-0.3188023865222931
3731,0.06400000303983688,0.10919535,-0.04519534856081009
3732,0.058000002056360245,0.032887813,0.02511218935251236
3733,0.07000000029802322,0.2357657,-0.1657656952738762
3734,0.09233333170413971,0.1486813,-0.05634796619415283
3735,0.07511110603809357,0.26226866,-0.1871575564146042
3737,0.07577777653932571,0.63749844,-0.5617206618189812
3738,0.12577778100967407,0.15192726,-0.026149481534957886
3739,0.070333331823349,0.20546025,-0.13512691855430603
3740,0.0573333315551281,0.23394027,-0.1766069419682026
3741,0.06422222405672073,0.1502013,-0.08597908169031143
2441,0.10500000417232513,0.13807252,-0.033072516322135925
2442,0.11299999803304672,0.12749876,-0.014498762786388397
2443,0.1589999943971634,0.20897879,-0.049978792667388916
2444,0.07233332842588425,0.38544935,-0.31311602145433426
2445,0.11366666853427887,0.12619226,-0.012525588274002075
2446,0.14588889479637146,0.18455745,-0.03866855800151825
1331,0.060777775943279266,0.031260055,0.029517721384763718
1332,0.0689999982714653,0.42408237,-0.3550823703408241
1333,0.06088889017701149,0.7999558,-0.7390668950974941
1334,0.06977777928113937,0.06847607,0.0013017058372497559
1335,0.07800000160932541,0.20154348,-0.12354347854852676
1336,0.058666665107011795,0.080302015,-0.021635349839925766
1586,0.08677777647972107,0.40629175,-0.3195139765739441
1587,0.10533333569765091,0.210061,-0.10472766309976578
1588,0.057999998331069946,0.12670898,-0.06870898604393005
1589,0.05966666713356972,0.0766317,-0.01696503534913063
1590,0.08299999684095383,0.17110491,-0.08810491114854813
1591,0.08966666460037231,0.59612805,-0.5064613819122314
1592,0.08316666632890701,0.105312586,-0.022145919501781464
1601,0.07900000363588333,0.24255903,-0.16355902701616287
1602,0.1080000028014183,0.15347528,-0.04547528177499771
1603,0.07199999690055847,0.14786811,-0.07586811482906342
1604,0.052000001072883606,0.5833838,-0.5313837975263596
1605,0.05900000035762787,3.0330758,-2.974075809121132
1606,0.10355555266141891,0.26096264,-0.15740708261728287
1607,0.09133332967758179,0.11875157,-0.027418240904808044
2431,0.07133333384990692,0.30207223,-0.23073889315128326
2432,0.8019999861717224,0.29107562,0.510924369096756
2433,1.4913333654403687,0.1669168,1.3244165629148483
2434,4.932000160217285,0.4377135,4.4942866563797
2435,0.07477778196334839,0.042663537,0.03211424499750137
2436,0.07866667211055756,0.12660487,-0.04793819785118103
2437,0.12999999523162842,0.55372894,-0.42372894287109375
2438,0.07366666197776794,0.5856998,-0.5120331346988678
2439,0.06033333018422127,0.06299089,-0.0026575587689876556
2440,0.06922222673892975,0.44473013,-0.3755079060792923
3350,0.06844444572925568,0.11330485,-0.04486040771007538
3351,0.09399999678134918,0.3327265,-0.23872651159763336
3352,0.09600000083446503,2.125287,-2.0292870551347733
3353,0.08900000154972076,0.18566354,-0.09666353464126587
3354,0.08255555480718613,0.27218142,-0.18962586671113968
3360,0.07588888704776764,0.17438172,-0.098492830991745
3361,0.0676666647195816,0.29939008,-0.23172341287136078
3362,0.108444444835186,0.54997456,-0.44153011590242386
3363,0.09000000357627869,0.20219068,-0.11219067871570587
3364,0.08233333379030228,0.37723055,-0.2948972210288048
3022,0.07900000363588333,0.12982579,-0.050825782120227814
3023,0.06599999964237213,0.13795303,-0.07195302844047546
3024,0.05999999865889549,0.086471714,-0.026471715420484543
3025,0.06772222369909286,0.15128915,-0.08356692641973495
3026,0.13733333349227905,0.096581884,0.04075144976377487
3027,0.15299999713897705,0.17651874,-0.023518741130828857
3028,0.1492222249507904,0.0864504,0.06277182698249817
3029,0.1362222135066986,0.0792784,0.05694381147623062
3030,0.13677777349948883,0.30445263,-0.16767485439777374
3031,0.12299999594688416,0.07766183,0.04533816874027252
3032,0.09733333438634872,0.15509228,-0.05775894969701767
3033,0.08922222256660461,0.13870327,-0.04948104918003082
3034,0.13699999451637268,0.29160422,-0.1546042263507843
3035,0.12122222781181335,0.06739962,0.053822606801986694
3036,0.08399999886751175,0.34580445,-0.2618044540286064
3037,0.08766666799783707,0.14313196,-0.05546528846025467
3038,0.08444444835186005,0.53911334,-0.45466889441013336
3039,0.09122221916913986,0.095695645,-0.004473425447940826
3040,0.08399999886751175,0.1342688,-0.050268806517124176
3043,0.07733333110809326,0.13038567,-0.05305233597755432
3044,0.06400000303983688,0.14732245,-0.0833224430680275
3045,0.05700000002980232,0.03021693,0.026783069595694542
3046,0.08100000023841858,0.08903146,-0.008031457662582397
3047,0.1523333340883255,0.17438684,-0.022053509950637817
3048,0.13433334231376648,0.1028858,0.03144754469394684
3049,0.13433332741260529,0.13365196,0.0006813704967498779
3050,0.12833333015441895,0.084526375,0.043806955218315125
3051,0.13433332741260529,0.09618826,0.03814506530761719
3052,0.13255555927753448,0.10725961,0.02529595047235489
3053,0.09600000083446503,0.26040873,-0.16440872848033905
3054,0.09000000357627869,0.16869056,-0.0786905586719513
3055,0.16099999845027924,0.090860374,0.07013962417840958
3056,0.13866667449474335,0.12845567,0.010211005806922913
3057,0.09433333575725555,0.1406846,-0.046351268887519836
3058,0.11299999803304672,0.131497,-0.01849699765443802
3059,0.09033333510160446,0.25704664,-0.16671330481767654
3060,0.09566666930913925,0.10702302,-0.011356353759765625
3061,0.08566666394472122,0.10786401,-0.022197343409061432
