,precision,recall,f1-score,support
0,0.9010300044782803,0.5943870014771049,0.7162691349234603,3385.0
1,0.3206333498268184,0.7456846950517837,0.44844290657439445,869.0
accuracy,0.6252938410907382,0.6252938410907382,0.6252938410907382,0.6252938410907382
macro avg,0.6108316771525494,0.6700358482644443,0.5823560207489273,4254.0
weighted avg,0.7824675472869027,0.6252938410907382,0.6615580412621207,4254.0
