Metric,Mean,Std
Accuracy,0.7977762106252936,0.0014281987747014376
Precision,0.5158288803880106,0.010998749540180973
Recall,0.1641081703107019,0.005010433905928116
F1,0.24897300484170706,0.006650058457245858
AUC,0.7263409528601271,0.0014616150775658178
