feature,importance
rough_avg,0.10175563
mound_coverage_15percentile,0.09717707
rough_SD,0.094870344
plot_avg_slope,0.089284435
hollow_coverage_low15percentile,0.06789417
hollow_area_low15percentile,0.067054525
mound_area_15percentile,0.06438756
plot_avg_aspect,0.06411652
hollow_density_low15percentile,0.06398923
dem_SD,0.062399317
