threshold,youden_j,gmean
inf,0.0,0.0
0.96,0.0011507479861910242,0.033922676577637915
0.955,0.0008553270113018071,0.03391766547242147
0.945,0.0020060749974928314,0.047966822515132096
0.93,0.0017106540226036141,0.04795973469499512
0.9,0.005162897981176686,0.07583099880679271
0.89,0.007168972978669519,0.08971118573737943
0.885,0.008319720964860541,0.09590529165443279
0.88,0.007728879015082108,0.0958769298937492
0.87,0.008879627001273132,0.10169284093082591
0.865,0.008584206026383915,0.10167779649832538
0.86,0.010590281023876746,0.11239239879112144
0.855,0.012891776996258795,0.12218341911698768
0.85,0.013747104007560603,0.12677695704022052
0.845,0.013451683032671385,0.12675818500235345
0.84,0.01430701004397319,0.13118775296907675
0.83,0.01772831808918042,0.1475594242438464
0.82,0.017137476139401985,0.14751564455908406
0.815,0.01828822412559301,0.15134785791150837
0.81,0.020294299123085842,0.1587114126073479
0.805,0.021445047109276867,0.16227840657785622
0.8,0.02286028015699126,0.16911156704616462
0.795,0.024866355154484095,0.17571978001930236
0.79,0.02601710314067512,0.17894426511987596
0.78,0.025426261190896686,0.17889106331548327
0.775,0.02598616722730927,0.18200336304005138
0.77,0.02828766319969132,0.18817471237037717
0.765,0.02740140027502367,0.18809068704251272
0.76,0.027961306311436257,0.1910433947297255
0.755,0.02908111838426144,0.19680559810183504
0.75,0.029345603445784817,0.1995894227473827
0.745,0.031056257468388422,0.20515145695658488
0.74,0.03102532155502258,0.20778098290036423
0.735,0.0327359755776262,0.21311499309565887
0.73,0.032145133627847766,0.21305117665670878
0.725,0.03385578765045137,0.21824707979908053
0.72,0.034415693686863966,0.2207637694224448
0.715,0.0372770956956586,0.22826650400498105
0.71,0.038396907768483785,0.23303601911644953
0.705,0.03866139283000715,0.235344817986458
0.7,0.04122737386391258,0.24233283393044958
0.695,0.04352886983629463,0.24694911223076188
0.69,0.046981113794867704,0.25371609424267766
0.685,0.04869176781747131,0.25805116432155434
0.68,0.05125774885137673,0.26441090082720997
0.675,0.050666906901598294,0.2643311749394253
0.67,0.05352830891039294,0.27056908410269853
0.665,0.05320195202213788,0.2724366262296745
0.655,0.0548507342180098,0.28014644835068614
0.65,0.05626596726572419,0.2839911019909463
0.645,0.05709035836366016,0.28768987935249185
0.64,0.06024718134734401,0.2934188932177764
0.635,0.05965633939756558,0.2933296674613519
0.63,0.0613669934201692,0.29702431833576404
0.625,0.06304671152940697,0.3023349883962952
0.62,0.06992026353318727,0.314783116480194
0.615,0.07422783450306214,0.32173002082763047
0.61,0.07478774053947473,0.3233563169561572
0.605,0.07649839456207834,0.32667828587067904
0.6,0.08393185260227123,0.33970545430856675
0.595,0.0885039086336695,0.3475624294529593
0.59,0.08729128882074678,0.34872444062044505
0.585,0.089561848879763,0.35323034646159857
0.58,0.09212782991366839,0.35772321102379884
0.575,0.09351212704801695,0.3619284127193652
0.57,0.0926258641233493,0.3617607109205467
0.565,0.09200408626020501,0.3629404896425159
0.56,0.09167772937194996,0.36416732580392175
