,precision,recall,f1-score,support
0,0.8754897692642577,0.5940915805022157,0.7078493488208377,3385.0
1,0.2979049565661727,0.6708860759493671,0.41259731068648264,869.0
accuracy,0.609779031499765,0.609779031499765,0.609779031499765,0.609779031499765
macro avg,0.5866973629152152,0.6324888282257914,0.5602233297536602,4254.0
weighted avg,0.757501710440883,0.609779031499765,0.6475357566396542,4254.0
