plot_id,tree_count_actual,tree_count_predicted,residual
817,0.0,0.5625796,-0.5625795722007751
2565,2.0,1.5792351,0.4207649230957031
4739,0.0,0.627553,-0.6275529861450195
2580,0.0,0.82262534,-0.8226253390312195
745,2.0,1.3608084,0.6391916275024414
136,8.0,3.823071,4.176928997039795
1094,0.0,3.0031772,-3.0031771659851074
4059,4.0,4.1331363,-0.13313627243041992
2610,0.0,1.6250108,-1.6250108480453491
2541,0.0,1.7344606,-1.7344605922698975
176,3.0,3.723376,-0.7233760356903076
939,4.0,3.1845882,0.8154118061065674
1301,0.0,0.50926936,-0.5092693567276001
1375,0.0,0.6142922,-0.6142922043800354
2505,6.0,3.9692636,2.0307364463806152
1037,0.0,3.2071261,-3.2071261405944824
3229,9.0,6.2583265,2.741673469543457
480,0.0,1.2160717,-1.2160717248916626
3401,0.0,1.81636,-1.8163599967956543
3178,2.0,3.486884,-1.4868841171264648
1473,5.0,1.1915283,3.8084716796875
3698,2.0,3.3600543,-1.3600542545318604
1986,0.0,1.1811014,-1.1811014413833618
3969,2.0,0.93272334,1.067276656627655
3342,1.0,1.8608283,-0.8608282804489136
1505,2.0,1.8653803,0.13461971282958984
3494,1.0,1.1199089,-0.11990892887115479
1822,7.0,3.0041397,3.9958603382110596
3543,8.0,3.1819103,4.818089723587036
2265,0.0,2.5754726,-2.575472593307495
555,2.0,1.9428961,0.057103872299194336
2010,0.0,1.4989256,-1.4989255666732788
1619,0.0,2.6578887,-2.657888650894165
550,0.0,1.0992305,-1.0992305278778076
3615,4.0,2.710254,1.2897460460662842
1823,6.0,3.096827,2.9031729698181152
4600,4.0,3.3156786,0.684321403503418
332,0.0,2.4617383,-2.461738348007202
4122,0.0,2.402445,-2.402445077896118
3621,2.0,1.58025,0.4197499752044678
1331,0.0,0.48004147,-0.4800414741039276
4526,1.0,0.9854075,0.014592528343200684
2184,0.0,0.60172963,-0.6017296314239502
3049,0.0,1.5108397,-1.5108397006988525
3369,0.0,2.553944,-2.5539441108703613
503,1.0,6.2720823,-5.272082328796387
662,0.0,2.0913355,-2.0913355350494385
2834,0.0,2.1490536,-2.1490535736083984
1564,0.0,2.0334775,-2.033477544784546
2971,2.0,1.0679315,0.9320684671401978
4332,0.0,1.0285137,-1.0285136699676514
3275,0.0,0.6795514,-0.6795514225959778
1187,1.0,0.5153078,0.48469221591949463
1970,4.0,0.94302684,3.056973159313202
4609,3.0,1.0775547,1.922445297241211
3770,5.0,6.64204,-1.6420397758483887
58,0.0,0.48004147,-0.4800414741039276
3489,4.0,1.2283087,2.77169132232666
783,7.0,5.78957,1.2104301452636719
2940,5.0,4.272945,0.7270550727844238
690,0.0,1.3012401,-1.301240086555481
3501,11.0,4.8434567,6.156543254852295
146,2.0,1.7293644,0.27063560485839844
3113,1.0,2.703895,-1.703895092010498
2388,3.0,2.0583007,0.9416992664337158
3346,0.0,0.6130894,-0.613089382648468
965,0.0,5.2076254,-5.207625389099121
1636,0.0,0.5350048,-0.5350047945976257
2810,0.0,1.1157559,-1.1157559156417847
1119,0.0,0.5652697,-0.5652697086334229
741,2.0,2.9650738,-0.965073823928833
661,1.0,3.534769,-2.534769058227539
532,0.0,0.6167048,-0.6167048215866089
261,11.0,15.773077,-4.773077011108398
3125,26.0,4.7204747,21.27952527999878
1770,1.0,1.2308528,-0.23085284233093262
3962,1.0,0.51905257,0.48094743490219116
2038,0.0,0.6872921,-0.6872920989990234
932,11.0,7.3547864,3.6452136039733887
2146,2.0,0.52965313,1.4703468680381775
4234,0.0,0.53149426,-0.5314942598342896
180,10.0,4.4655504,5.534449577331543
1128,5.0,2.1244435,2.875556468963623
1287,0.0,2.8055413,-2.8055412769317627
2760,7.0,4.2119713,2.7880287170410156
4821,7.0,3.1804578,3.819542169570923
3259,0.0,2.6695573,-2.6695573329925537
2561,0.0,2.5735972,-2.5735971927642822
2457,6.0,2.9323866,3.067613363265991
247,14.0,6.604425,7.395575046539307
1868,5.0,4.7892227,0.21077728271484375
2020,1.0,3.9633684,-2.9633684158325195
2805,0.0,0.93949205,-0.9394920468330383
533,0.0,0.87633073,-0.8763307332992554
522,4.0,2.815037,1.1849629878997803
2995,11.0,3.6234426,7.376557350158691
326,2.0,1.8026793,0.19732069969177246
4501,2.0,1.0361665,0.9638334512710571
2136,12.0,5.0460305,6.953969478607178
2046,0.0,4.2830315,-4.283031463623047
1869,2.0,6.8316517,-4.83165168762207
2414,3.0,1.6475203,1.3524796962738037
2927,1.0,2.1255515,-1.125551462173462
408,3.0,3.035922,-0.03592205047607422
4598,5.0,2.5573359,2.44266414642334
4333,0.0,0.58132994,-0.5813299417495728
1512,2.0,2.1775696,-0.17756962776184082
812,0.0,0.70821816,-0.7082181572914124
2825,0.0,1.438935,-1.4389350414276123
2660,2.0,0.9956653,1.0043346881866455
1457,0.0,1.8083396,-1.8083395957946777
2973,8.0,2.748446,5.251554012298584
4500,5.0,1.4802752,3.5197248458862305
3596,2.0,0.79586464,1.2041353583335876
1973,0.0,0.5404838,-0.5404837727546692
1531,0.0,0.6600041,-0.6600040793418884
1246,1.0,0.48004147,0.5199585258960724
4777,0.0,0.62146145,-0.6214614510536194
4060,12.0,3.9868336,8.013166427612305
3116,17.0,4.5447593,12.455240726470947
2132,0.0,2.652903,-2.6529030799865723
799,0.0,0.5216296,-0.5216295719146729
139,3.0,1.8489151,1.1510848999023438
4085,0.0,1.255114,-1.255113959312439
2093,10.0,3.9724312,6.027568817138672
3536,1.0,1.6253563,-0.6253563165664673
1062,0.0,0.5248976,-0.524897575378418
3256,1.0,2.7606504,-1.760650396347046
3107,1.0,2.9321477,-1.932147741317749
1632,0.0,0.49002323,-0.4900232255458832
2830,0.0,2.2320218,-2.2320218086242676
1117,2.0,0.6529211,1.3470789194107056
1913,1.0,0.9305924,0.06940758228302002
2795,1.0,2.116606,-1.1166059970855713
607,0.0,1.0287206,-1.0287206172943115
4327,0.0,0.5350048,-0.5350047945976257
1443,3.0,3.3352778,-0.335277795791626
2905,0.0,1.6341876,-1.6341875791549683
4011,3.0,0.7375199,2.262480080127716
2351,1.0,1.2274752,-0.22747516632080078
2111,3.0,1.5163943,1.4836057424545288
2479,0.0,2.538086,-2.5380859375
3037,0.0,1.1059844,-1.1059844493865967
3311,5.0,1.1854028,3.814597249031067
