Metric,Mean,Std
Accuracy,0.7380841560883873,0.0022719996832352434
Precision,0.49477444538222737,0.008166230341867786
Recall,0.2629241877256318,0.005756226841779822
F1,0.34335145916411747,0.006265709264727791
AUC,0.6933531204601109,0.0022885415478233837
