,precision,recall,f1-score,support
0,0.8358395989974937,0.6360457724094087,0.7223826714801445,3146.0
1,0.3844086021505376,0.6453068592057761,0.48180592991913745,1108.0
accuracy,0.6384579219558063,0.6384579219558063,0.6384579219558063,0.6384579219558063
macro avg,0.6101241005740157,0.6406763158075924,0.602094300699641,4254.0
weighted avg,0.718259546222123,0.6384579219558063,0.6597218746654769,4254.0
